"","occ2010","occ2018","xwalk_wt_fnl"
"1",10,10,1
"2",20,20,1
"3",30,30,1
"4",40,40,1
"5",50,40,0.333333333333333
"6",50,51,0.333333333333333
"7",50,52,0.333333333333333
"8",60,60,1
"9",100,60,0.333333333333333
"10",100,101,0.488928934684535
"11",100,102,0.511071065315465
"12",110,110,1
"13",120,120,1
"14",135,135,1
"15",136,136,1
"16",137,137,1
"17",140,140,1
"18",150,150,1
"19",160,160,1
"20",205,205,1
"21",220,220,1
"22",230,230,1
"23",300,300,1
"24",310,310,0.92230247469873
"25",325,325,1
"26",330,335,1
"27",340,340,1
"28",350,350,1
"29",360,360,1
"30",400,400,1
"31",410,410,1
"32",420,420,0.954854813726865
"33",425,425,0.5
"34",425,426,0.5
"35",430,440,0.827363612476082
"36",500,500,1
"37",510,510,1
"38",520,520,1
"39",530,530,1
"40",540,540,1
"41",565,565,1
"42",600,600,1
"43",630,630,1
"44",700,700,1
"45",700,705,0.5
"46",710,710,1
"47",725,725,1
"48",726,726,1
"49",640,640,1
"50",650,650,1
"51",735,735,1
"52",740,750,1
"53",800,800,1
"54",810,810,1
"55",820,820,1
"56",830,830,1
"57",840,845,1
"58",850,850,1
"59",860,860,1
"60",900,900,1
"61",910,910,1
"62",930,930,1
"63",940,940,1
"64",950,960,1
"65",1005,1005,1
"66",1006,1006,1
"67",1107,1108,1
"68",1010,1010,1
"69",1020,1010,0.333333333333333
"70",1020,1021,0.980005469650611
"71",1020,1022,0.0199945303493893
"72",1050,1050,1
"73",1060,1065,1
"74",1105,1105,1
"75",1007,1007,1
"76",1030,1007,0.333333333333333
"77",1030,1031,0.333333333333333
"78",1030,1032,0.333333333333333
"79",1106,1106,1
"80",1200,1200,1
"81",1210,1210,1
"82",1220,1220,1
"83",1230,1230,1
"84",1240,1240,1
"85",1300,1240,0.333333333333333
"86",1300,1305,0.904958513299005
"87",1300,1306,0.0950414867009946
"88",1310,1310,1
"89",1320,1320,1
"90",1330,1330,1
"91",1340,1340,1
"92",1350,1350,1
"93",1360,1360,1
"94",1400,1400,1
"95",1410,1410,1
"96",1420,1420,1
"97",1430,1430,1
"98",1440,1440,1
"99",1450,1450,1
"100",1460,1460,1
"101",1500,1500,1
"102",1510,1510,1
"103",1520,1520,1
"104",1530,1530,0.949227598382926
"105",1540,1530,0.333333333333333
"106",1540,1541,0.378553668616792
"107",1540,1545,0.621446331383208
"108",1550,1545,0.333333333333333
"109",1550,1551,0.159407480818193
"110",1550,1555,0.840592519181807
"111",1560,1560,1
"112",1600,1600,1
"113",1610,1610,1
"114",1640,1640,1
"115",1650,1650,1
"116",1660,1660,1
"117",1700,1700,1
"118",1710,1710,1
"119",1720,1720,1
"120",1740,1720,0.333333333333333
"121",1740,1745,0.596910341029352
"122",1740,1750,0.403089658970648
"123",1760,1760,1
"124",1800,1800,1
"125",1815,1815,1
"126",1820,1815,0.25
"127",1820,1821,0.0517180597542766
"128",1820,1822,0.283976547884094
"129",1820,1825,0.664305392361629
"130",1830,1830,1
"131",1840,1840,1
"132",1860,1860,1
"133",1900,1900,1
"134",1910,1910,1
"135",1920,1920,1
"136",1930,1935,1
"137",1940,1940,1
"138",1950,1950,1
"139",1965,1970,1
"140",2000,1970,0.142857142857143
"141",2000,2001,0.175566211099328
"142",2000,2002,0.299434098193434
"143",2000,2003,0.0406993799365059
"144",2000,2004,0.213913636080608
"145",2000,2005,0.018229819733135
"146",2000,2006,0.252156854956989
"147",2010,2006,0.2
"148",2010,2011,0.0716797638070387
"149",2010,2012,0.150634070177454
"150",2010,2013,0.0237314234959831
"151",2010,2014,0.574005478700202
"152",2015,2015,1
"153",2016,2016,1
"154",2025,2025,1
"155",2040,2040,1
"156",2050,2050,1
"157",2060,2060,1
"158",2100,2100,0.984022063484682
"159",2105,2105,1
"160",2110,2110,1
"161",2145,2145,1
"162",2160,2145,0.25
"163",2160,2862,0.25
"164",2160,2170,0.25
"165",2160,2180,0.25
"166",2200,2205,1
"167",2300,2300,1
"168",2310,2310,1
"169",2320,2320,1
"170",2330,2330,1
"171",2340,2330,0.333333333333333
"172",2340,2350,0.154792435375171
"173",2340,2360,0.845207564624829
"174",2400,2400,1
"175",2430,2435,1
"176",2440,2440,1
"177",2540,2545,1
"178",2550,2555,1
"179",2600,2600,1
"180",2630,2600,0.125
"181",2630,2631,0.0146568374796806
"182",2630,2632,0.0629348039463763
"183",2630,2633,0.0356450872441694
"184",2630,2634,0.345020482953286
"185",2630,2635,0.140353153094727
"186",2630,2636,0.044958518696594
"187",2630,2640,0.356431116585167
"188",2700,2700,0.183141923598501
"189",2710,2710,1
"190",2720,2710,0.25
"191",2720,2721,0.0996579443457879
"192",2720,2722,0.801804932306112
"193",2720,2723,0.0985371233481004
"194",2740,2740,1
"195",2750,2740,0.25
"196",2750,2751,0.277841455821549
"197",2750,2752,0.722158544178451
"198",2750,2755,0.25
"199",2760,2770,0.762019322528319
"200",2800,2805,1
"201",2810,2810,0.489946049540934
"202",2825,2825,1
"203",2830,2830,1
"204",2840,2840,1
"205",2850,2850,1
"206",2860,2850,0.333333333333333
"207",2860,2861,0.905689859677975
"208",2860,2865,0.0943101403220249
"209",2900,2905,1
"210",2910,2910,1
"211",2920,2920,1
"212",2960,2970,1
"213",3000,3000,1
"214",3010,3010,1
"215",3030,3030,1
"216",3040,3040,1
"217",3050,3050,1
"218",3060,3050,0.2
"219",3060,3065,0.2
"220",3060,3070,0.2
"221",3060,3090,0.922664962839596
"222",3060,3100,0.0773350371604043
"223",3110,3110,1
"224",3120,3120,1
"225",3150,3150,1
"226",3160,3160,1
"227",3200,3200,1
"228",3210,3210,1
"229",3220,3220,1
"230",3230,3230,1
"231",3235,3235,1
"232",3245,3245,1
"233",3250,3250,1
"234",3255,3255,1
"235",3256,3256,1
"236",3257,3257,1
"237",3258,3258,1
"238",3140,3140,1
"239",3260,3140,0.333333333333333
"240",3260,3261,0.379631637447726
"241",3260,3270,0.620368362552274
