"","census_2018","estz_total_sim","estz_core_sim","estz_supplemental_sim","estz_total_quint_sim","estz_core_quint_sim","estz_supplemental_quint_sim","estz_total_admin","estz_core_admin","estz_supplemental_admin","estz_total_quint_admin","estz_core_quint_admin","estz_supplemental_quint_admin"
"1","0010",0.0169508023188782,0.0149547262766814,0.056451611,4,5,4,0.47939068,0.42293906,0.056451611,5,5,4
"2","0020",0.00723153219515953,0.00289261277971498,0.17647059,3,3,5,0.29411766,0.11764706,0.17647059,4,3,5
"3","0030",NA,NA,NA,NA,NA,NA,0.21666667,0.21666667,0,3,4,1
"4","0040",0.0128886297121342,0.0105452427473884,0.06666667,4,4,4,0.36666667,0.30000001,0.06666667,4,4,4
"5","0051",0.0157006801552227,0.0104671206849885,0.15000001,4,4,5,0.44999999,0.30000001,0.15000001,5,4,5
"6","0052",0.00954534515626241,0.00763627586537655,0.05882353,4,4,4,0.29411766,0.23529412,0.05882353,4,4,4
"7","0060",0.0280556429309257,0.0280556429309257,0,5,5,1,0.38316247,0.38316247,0,4,5,1
"8","0101",0.0105072332539966,0.0105072332539966,0,4,4,1,0.42058489,0.42058489,0,4,5,1
"9","0102",0.0105072332539966,0.0105072332539966,0,4,4,1,0.42058489,0.42058489,0,4,5,1
"10","0110",0.0169342683202809,0.0160429917898773,0.029411765,4,5,3,0.55882353,0.52941179,0.029411765,5,5,3
"11","0120",0.0161739267098688,0.00853493689515581,0.20577201,4,4,5,0.43567821,0.2299062,0.20577201,4,4,5
"12","0135",0.0152803302515746,0.00993221506692419,0.14583333,4,4,5,0.41666666,0.27083334,0.14583333,4,4,5
"13","0136",0.0132322581825971,0.0132322581825971,0,4,4,1,0.38461539,0.38461539,0,4,5,1
"14","0137",0.0174438543673009,0.0145365450734993,0.083333336,5,4,4,0.5,0.41666666,0.083333336,5,5,4
"15","0140",0.00529174552301828,0.00455744835660268,0.031466193,3,3,3,0.22676244,0.19529626,0.031466193,3,3,4
"16","0150",0.0154951447552773,0.0154951447552773,0,4,5,1,0.41666666,0.41666666,0,4,5,1
"17","0160",0.0114856972572454,0.0105848575572021,0.033333335,4,4,3,0.42500001,0.39166665,0.033333335,4,5,4
"18","0205",0.00175836987483822,0.00175836987483822,0,2,2,1,0.083333336,0.083333336,0,2,2,1
"19","0220",0.0050070514885432,0.00389437316362398,0.039999999,3,3,3,0.18000001,0.14,0.039999999,3,3,4
"20","0230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","0300",0.0143200895145966,0.0097103169884603,0.16478696,4,4,5,0.51190478,0.34711778,0.16478696,5,4,5
"22","0310",0.00464056017662022,0.00337495304901655,0.053571429,3,3,4,0.19642857,0.14285715,0.053571429,3,3,4
"23","0325",0.00625486426276586,0.00573362542130536,0.022727273,3,3,3,0.27272728,0.25,0.022727273,4,4,3
"24","0335",0.014472978267552,0.0138229087957941,0.023382263,4,4,3,0.26315845,0.25146731,0.0116911315,3,4,3
"25","0340",0.00526129499032476,0.00478299529965101,0.020833334,3,3,3,0.22916667,0.20833333,0.020833334,3,4,3
"26","0350",0.0103641515856551,0.00942195657283359,0.027777778,4,4,3,0.30555555,0.27777779,0.027777778,4,4,3
"27","0360",0.0150619313324422,0.0140779853490747,0.02813853,4,4,3,0.43073595,0.4025974,0.02813853,4,5,3
"28","0400",0.0116720143817171,0.00636655317371659,0.1923077,4,3,5,0.42307693,0.23076923,0.1923077,4,4,5
"29","0410",0.0124729388459651,0.00722117502806033,0.14814815,4,4,5,0.35185185,0.2037037,0.14814815,4,3,5
"30","0420",0.011815659368591,0.00787710624572735,0.125,4,4,4,0.375,0.25,0.125,4,4,5
"31","0425",0.0133751615382511,0.0133751615382511,0,4,4,1,0.52173913,0.52173913,0,5,5,1
"32","0426",0.0117060518624989,0.011055982390741,0.023382263,4,4,3,0.42105374,0.39767146,0.023382263,4,5,3
"33","0440",0.0117060518624989,0.011055982390741,0.023382263,4,4,3,0.42105374,0.39767146,0.023382263,4,5,3
"34","0500",0.0202533837455842,0.0162027075257558,0.10714286,5,5,4,0.53571427,0.42857143,0.10714286,5,5,5
"35","0510",0.00824629789567297,0.00589021282301358,0.083333336,3,3,4,0.29166666,0.20833333,0.083333336,4,4,4
"36","0520",0.0114788613271153,0.00789171725207037,0.125,4,4,4,0.40000001,0.27500001,0.125,4,4,5
"37","0530",0.016591440985262,0.016591440985262,0,4,5,1,0.44736841,0.44736841,0,5,5,1
"38","0540",0.0229031495127656,0.0195542786553016,0.10344828,5,5,4,0.39285715,0.341133015,0.05172414,4,4,4
"39","0565",0.00941388843015173,0.00626249956822912,0.13107263,4,3,5,0.39154267,0.26047003,0.13107263,4,4,5
"40","0600",0.0151515958717692,0.0138889623816107,0.035714287,4,4,3,0.42857143,0.39285713,0.035714287,4,5,4
"41","0630",0.0376195665057852,0.0308544171550842,0.185439564,5,5,5,0.34386447,0.282051286666667,0.061813188,4,4,4
"42","0640",0.0209048391214031,0.012975416884579,0.22916667,5,4,5,0.60416669,0.375,0.22916667,5,5,5
"43","0650",0.0169665003162603,0.0160735265966051,0.025,4,5,3,0.47499999,0.44999999,0.025,5,5,3
"44","0700",0.0160928393694339,0.0142221791729024,0.054301076,4,4,4,0.46713912,0.41283804,0.054301076,5,5,4
"45","0705",0.0463165250609995,0.0448570402669537,0.0506081017,5,5,4,0.512922416666667,0.49605304,0.0168693672333333,5,5,3
"46","0710",0.0172419294329841,0.0172419294329841,0,4,5,1,0.45454547,0.45454547,0,5,5,1
"47","0725",0.0113216796009081,0.0095340460455723,0.071428575,4,4,4,0.45238096,0.38095239,0.071428575,5,5,4
"48","0726",0.0133301927284264,0.0120606500559975,0.035714287,4,4,3,0.375,0.3392857,0.035714287,4,4,4
"49","0735",0.0182882002285953,0.015197236527573,0.083333336,5,5,4,0.49305555,0.40972221,0.083333336,5,5,4
"50","0750",0.0158229611281653,0.0151160374352351,0.024067078,4,5,3,0.53869009,0.51462299,0.024067078,5,5,3
"51","0800",0.0177839062376568,0.0154127189764213,0.06666667,5,5,4,0.5,0.43333334,0.06666667,5,5,4
"52","0810",0.0183744540786222,0.0167514726850289,0.06666667,5,5,4,0.37738097,0.34404761,0.033333335,4,4,4
"53","0820",0.0156914936486738,0.0156914936486738,0,4,5,1,0.42307693,0.42307693,0,4,5,1
"54","0830",0.0229057239329453,0.0147251084225812,0.22727273,5,5,5,0.63636363,0.40909091,0.22727273,5,5,5
"55","0845",0.0160013301102453,0.0160013301102453,0,4,5,1,0.4361777,0.4361777,0,4,5,1
"56","0850",0.0178493860924662,0.0133870399441867,0.11904762,5,4,4,0.47619048,0.35714287,0.11904762,5,4,5
"57","0860",0.0167480523105994,0.0167480523105994,0,4,5,1,0.5,0.5,0,5,5,1
"58","0900",0.0175822076844701,0.0153844317239114,0.05882353,5,5,4,0.47058824,0.41176471,0.05882353,5,5,4
"59","0910",0.029040084499951,0.027293363594515,0.050000001,5,5,4,0.423188405,0.3981884,0.0250000005,4,5,3
"60","0930",0.0151715590787927,0.0062065472406779,0.25999999,4,3,5,0.44,0.18000001,0.25999999,5,3,5
"61","0940",0.0203548958664805,0.0203548958664805,0,5,5,1,0.58333331,0.58333331,0,5,5,1
"62","0960",0.25841603745313,0.225441726930053,0.947431925,5,5,5,0.46943266625,0.41021817125,0.0592144953125,5,5,4
