"","census_2018","AIOE_sim","AIOE_quint_sim","AIOE_admin","AIOE_quint_admin","AIOE_wgt","AIOE_quint_wgt"
"1","0010",0.0471692407338198,5,1.334246,5,0.667753413457927,5
"2","0020",0.0140759695127639,4,0.5748773,4,0.312941632830935,4
"3","0040",0.0455777037350789,5,1.294387,5,0.611214599076818,5
"4","0051",0.0459928975719176,5,1.315032,5,0.621293508547281,5
"5","0052",0.0411349374547573,4,1.26628,5,0.59122012648653,5
"6","0060",NA,NA,1.293689,5,NA,NA
"7","0101",0.0183519298545525,4,0.7398278,4,0.363795259739303,4
"8","0102",NA,NA,0.7398278,4,NA,NA
"9","0110",0.0321364133344345,4,1.059853,4,0.520597711147972,4
"10","0120",0.0533957429959212,5,1.446232,5,0.713143350046002,5
"11","0135",0.0476930848121891,5,1.298235,5,0.597012594792076,5
"12","0136",0.0453945726685427,5,1.320417,5,0.612691650740805,5
"13","0137",0.044720484548813,5,1.284423,5,0.622290292780104,5
"14","0140",0.0118288144560099,3,0.5086878,4,0.332018712696236,4
"15","0150",0.0529579174764844,5,1.423426,5,0.689845553620398,5
"16","0160",0.0253136952140848,4,0.8907923,4,0.569389713742608,5
"17","0205",-0.0030307827438237,3,-0.1443684,3,0.168313109228237,3
"18","0220",0.0285460482338483,4,1.029139,4,0.485918131459102,4
"19","0230",0.115530750455315,5,0.925523375,4,0.509421663538935,4
"20","0300",0.0233554471986778,4,0.8370105,4,0.4644708423618,4
"21","0310",-0.00286058457261527,3,-0.1213112,3,0.15831401488977,3
"22","0325",0.0084589070552616,3,0.3719018,3,0.276822256271488,3
"23","0335",0.0470300167633756,5,0.89730395,4,0.391805748032832,4
"24","0340",0.00918708875801114,3,0.4021726,3,0.280563742757541,3
"25","0350",0.0426164488686687,4,1.260259,5,0.590126432811148,5
"26","0360",0.0463465795260549,5,1.327906,5,0.669950984163288,5
"27","0400",0.0226025603299744,4,0.8233757,4,0.422014878383828,4
"28","0410",0.0433114567872583,5,1.215396,5,0.609432819556705,5
"29","0420",0.0364378495265069,4,1.156153,5,0.520143981967769,4
"30","0425",0.0263364043612073,4,1.030768,4,0.455302184779832,4
"31","0426",0.0239226650158381,4,0.9646872,4,0.212210631706101,3
"32","0440",0.0265899942558447,4,0.9646872,4,0.460639300072482,4
"33","0500",0.040525967441165,4,1.068559,4,0.599258264950853,5
"34","0510",0.0216833256052468,4,0.7687054,4,0.380089975070344,4
"35","0520",0.0236525732520115,4,0.8188258,4,0.354397196102042,4
"36","0530",0.0559170511457663,5,1.509181,5,0.667935933339521,5
"37","0540",0.0524700908721066,5,0.96875975,4,0.440504418549422,4
"38","0565",0.0169390979912003,4,0.6981205,4,0.405229461077556,4
"39","0600",0.0489952057320509,5,1.367669,5,0.622982842261026,5
"40","0630",0.0711326052492365,5,0.7531605,4,0.403959172379205,4
"41","0640",0.0500044312254024,5,1.440985,5,0.65032770532254,5
"42","0650",0.0426809496983104,5,1.198409,5,0.622706714947768,5
"43","0700",0.0446653708187413,5,1.297303,5,0.658514935087312,5
"44","0705",NA,NA,1.08169306666667,4,NA,NA
"45","0710",0.0546492954516027,5,1.432417,5,0.67683297053231,5
"46","0725",0.00931894536797428,3,0.3740207,3,0.292698478323778,4
"47","0726",0.0440523012878232,5,1.242567,5,0.606723997637159,5
"48","0735",0.051845782091263,5,1.426757,5,0.6725192083233,5
"49","0750",0.0335064645198783,4,1.047687,4,0.649660550253832,5
"50","0800",0.0528487492527054,5,1.481956,5,0.696765925559894,5
"51","0810",0.0408157354734104,4,0.8413203,4,0.371105944977265,4
"52","0820",0.0561308441865445,5,1.502988,5,0.708804987477824,5
"53","0830",0.048893808572203,5,1.345268,5,0.666654945772013,5
"54","0845",NA,NA,1.380615,5,NA,NA
"55","0850",0.0526197729894118,5,1.400749,5,0.693575612459249,5
"56","0860",0.0444841271898058,5,1.326652,5,0.591492211951898,5
"57","0900",0.0570544358432786,5,1.526064,5,0.717593215049426,5
"58","0910",0.0945369381287198,5,1.38556,5,0.593612026590811,5
"59","0930",0.0471219773421767,5,1.36682,5,0.653205356999415,5
"60","0940",0.045389447938893,5,1.29371,5,0.567919577010268,5
"61","0960",0.709829931137519,5,1.3238701,5,0.622396427219248,5
"62","1005",0.0377890735557611,4,1.154269,5,0.570754578944023,5
"63","1006",0.0391925404283036,4,1.19815,5,0.594120690737302,5
"64","1007",0.0405348927735745,4,1.250146,5,0.575214021996924,5
"65","1010",0.0420804152345407,4,1.271506,5,0.563491275556572,5
"66","1021",NA,NA,1.2421155,5,NA,NA
"67","1022",0.119334806781142,5,1.23897866666667,5,0.557790995425114,5
"68","1031",0.0346597808916532,4,1.089463,4,0.534186998937702,4
"69","1032",0.0736750737231823,5,1.161084,5,0.556544267279357,5
"70","1050",0.0290912711131548,4,0.5427018,4,0.338689915941112,4
"71","1065",0.15417187268382,5,1.03445862,4,0.498355068215955,4
"72","1105",0.0216612357177964,4,0.7895315,4,0.439013022289727,4
"73","1106",0.0159749782779453,4,0.5803306,4,0.412004588784486,4
"74","1108",0.0592433928932866,5,0.96837845,4,0.606525878514288,5
"75","1200",0.056832606766947,5,1.516474,5,0.726151057595039,5
"76","1210",0.058864916940113,5,1.472319,5,0.737186940762468,5
"77","1220",0.0556461760852529,5,1.40002,5,0.684762388774073,5
"78","1230",0.0482375342853298,5,1.382724,5,0.633022162015775,5
"79","1240",0.240408026744402,5,1.30550346,5,0.687319293807341,5
"80","1305",0.0334573557368874,4,1.047142,4,0.575006464443144,5
"81","1306",0.0342276992756172,4,1.034388,4,0.558395917126343,5
"82","1310",0.0233828828715051,4,0.48152925,4,0.277510387268516,3
"83","1320",0.0467463389194495,5,1.338738,5,0.673339132974119,5
"84","1330",0.0242478111218819,4,0.9409636,4,0.443597800122505,4
"85","1340",0.0294333367001016,4,0.9874239,4,0.512638605844691,4
"86","1350",0.0437650334902444,5,1.341336,5,0.636317303535257,5
"87","1360",0.0417174677384881,4,1.282867,5,0.644556105367324,5
"88","1400",0.0382697997933526,4,1.141812,5,0.579349099124014,5
"89","1410",0.0513964224680779,5,0.8960914,4,0.451697334732296,4
"90","1420",0.04729325888721,5,1.343561,5,0.675456763769413,5
"91","1430",0.0598321319464883,5,1.06638175,4,0.500512386381659,4
"92","1440",0.0130900054347714,3,0.5472173,4,0.335478558990538,4
"93","1450",0.0304766005973474,4,1.037278,4,0.491342503615171,4
"94","1460",0.0278059445271937,4,1.004709,4,0.524452850230218,4
"95","1500",0.042727726923747,5,1.34695,5,0.638122804823907,5
"96","1510",0.042306795727273,4,1.303009,5,0.646782529074774,5
"97","1520",0.0429109783076086,5,1.247779,5,0.672062730174232,5
"98","1530",0.0209924393125752,4,0.787566,4,0.442830369993529,4
"99","1541",0.0280220181938095,4,0.9233925,4,0.498074263952596,4
"100","1545",0.081860888752722,5,0.891521866666667,4,0.476275527954796,4
"101","1551",0.00877627195581253,3,0.3515252,3,0.316100648775334,4
"102","1555",0.0526246569316484,5,0.254914311111111,3,0.23231731060319,3
"103","1560",0.00192641101031375,3,0.0852324,3,0.225789406590479,3
"104","1600",0.0626487677221489,5,0.822595033333333,4,0.396389778463593,4
"105","1610",0.0797849242608428,5,0.732350975,4,0.436610400608335,4
"106","1640",-0.00239595529390114,3,-0.05767485,3,0.200148056470924,3
"107","1650",0.0936871742246245,5,1.3581075,5,0.670168713136715,5
"108","1700",0.0929306166963849,5,1.3597365,5,0.655702445497992,5
"109","1710",0.0459229090396052,5,1.373917,5,0.627742871249882,5
"110","1720",0.0425926670984412,4,0.76694105,4,0.441677544829511,4
"111","1745",0.0277033345514708,4,1.014113,4,0.489880798039944,4
"112","1750",0.0606403691166023,5,0.789656066666667,4,0.436071441105866,4
"113","1760",0.0373252847826571,4,1.140157,5,0.583965415908054,5
"114","1800",0.0542093935884997,5,1.403764,5,0.698483166137396,5
"115","1815",0.0520559438792797,5,1.42653,5,0.67390845962941,5
"116","1821",0.0582261235367032,5,1.456361,5,0.724144167425188,5
"117","1822",0.0552742625400289,5,1.456361,5,0.67433442683061,5
"118","1825",0.215488442976974,5,1.42626275,5,0.7003156065055,5
"119","1830",0.0570040456500244,5,1.411125,5,0.670864722622688,5
"120","1840",0.0414458424868097,4,1.227516,5,0.625844126653787,5
"121","1860",0.199376905791803,5,1.1957393,5,0.574440837259823,5
"122","1900",0.00411661915537936,3,0.095719,3,0.199538654981899,3
"123","1910",0.00717760466523743,3,0.3012355,3,0.242197496631759,3
"124","1920",0.00149710153764997,3,0.0628057,3,0.222939692030329,3
"125","1935",0.0136702295606619,3,0.15839535,3,0.194492655524123,3
"126","1940",0.00372955698411247,3,0.1696743,3,0.253112426705454,3
"127","1950",0.0409427102700023,4,1.204652,5,0.589579705505424,5
"128","1970",0.0613127379400882,5,0.198946423076923,3,0.236576680438549,3
"129","1980",0.0289525415969195,4,0.61731185,4,0.329968483055052,4
"130","2001",0.0325441854984135,4,1.030841,4,0.501171287433479,4
"131","2002",0.0290564908531321,4,0.9739287,4,0.452041589433858,4
"132","2003",0.0492750674891835,5,1.367434,5,0.648432414672036,5
"133","2004",0.0467087093507994,5,1.34239,5,0.590119661036633,5
"134","2005",0.0165524733008492,4,0.5025014,4,0.491346756986711,4
"135","2011",0.0196165058746369,4,0.7761707,4,0.357001091094181,4
"136","2012",0.0283535483319522,4,0.9339648,4,0.45989341250386,4
"137","2013",0.0354312729458342,4,1.119216,4,0.529660284909121,4
"138","2015",0.0123256484364481,3,0.5272448,4,0.203754366197943,3
"139","2016",0.0119906610908127,3,0.4652255,3,0.33800601867872,4
"140","2025",0.0420903559839494,4,0.4303128,3,0.266962343194845,3
"141","2040",0.0419837008865582,4,1.282559,5,0.590971274585734,5
"142","2050",0.0411370997392722,4,1.210922,5,0.579955990917084,5
"143","2100",0.0468100406441537,5,1.328783,5,0.636797505806493,5
"144","2105",0.0557004603697814,5,1.462973,5,0.709604890323187,5
"145","2110",0.16731830627981,5,1.434267,5,0.708167140979908,5
"146","2145",0.0459576429327046,5,1.292055,5,0.591144006174879,5
"147","2170",0.0442810603240646,5,1.279954,5,0.550589333480235,5
"148","2205",1.47053334628595,5,1.21272186,5,0.565468150370473,5
"149","2300",0.010277199182484,3,0.19752095,3,0.242446654942711,3
"150","2310",0.0770065356080136,5,0.897771066666667,4,0.430969761766606,4
"151","2320",0.0451262857819921,5,0.78238775,4,0.419993547536561,4
"152","2330",0.0952543135932984,5,0.573016533333333,4,0.319581943671573,4
"153","2350",0.0481529182260698,5,1.32533,5,0.637407050180804,5
"154","2360",0.19360129701038,5,1.1702586,5,0.514071400768801,4
"155","2400",0.0354723598406526,4,0.440671766666667,3,0.286488873001388,4
"156","2435",0.0407981615172264,4,0.7439546,4,0.392228355550056,4
"157","2440",0.000949124519201793,3,0.037965,3,0.0910084075994244,3
"158","2545",0.0736756167547999,5,0.6165867,4,0.532768903046786,4
"159","2555",0.13012692601073,5,0.77143415,4,0.512048179602537,4
"160","2600",0.00993972323237783,3,0.057449225,3,0.213708991981916,3
"161","2631",0.0260992043210294,4,0.867039,4,0.46217491522708,4
"162","2632",0.0170895952274385,4,0.5801539,4,0.40153946696469,4
"163","2633",-0.00698108822255701,3,-0.2718452,3,0.0597880386474933,2
"164","2634",0.0245913357202351,4,0.7156958,4,0.431500802486656,4
"165","2635",0.0390341186458332,4,1.12168,4,0.576472837788065,5
"166","2636",-0.0246315881684962,2,-1.001413,1,-0.0496585013195335,2
"167","2640",0.0606591331402899,5,0.279911171428571,3,0.281017987152233,3
"168","2700",0.00489089461370601,3,0.1590935,3,0.191584263751784,3
"169","2710",0.0264670464387549,4,0.9388108,4,0.483427926607466,4
"170","2721",-0.0380807670875765,1,-1.814336,1,-0.182685295540171,1
"171","2722",0.00291755474104383,3,0.1168668,3,0.213711385669847,3
"172","2723",-0.000742911796574837,3,-0.0325617,3,0.161787722623048,3
"173","2740",-0.106036087492349,1,-2.1227635,1,-0.266535319797014,1
"174","2751",0.0262924912130357,4,0.8829641,4,0.447602052220397,4
"175","2752",-0.000101841835224514,3,-0.0040058,3,0.155411637610366,3
"176","2805",0.0232522902752418,4,0.8493547,4,0.379868369044966,4
"177","2810",0.0789776410736841,5,1.175098,5,0.558647983624127,5
"178","2825",0.0498155604078081,5,1.284927,5,0.654483227641403,5
"179","2830",0.0390024914837837,4,1.128221,4,0.541585900446883,4
"180","2840",0.0438769441843061,5,1.184001,5,0.551825679583095,5
"181","2850",0.0357969350846951,4,0.9879274,4,0.512774727530539,4
"182","2861",0.0355459158918303,4,1.111319,4,0.4977534009911,4
"183","2862",0.0299914042617805,4,0.835246,4,0.396717400424418,4
