"","census_2018","gpt4_beta_sim","human_beta_sim","gpt4_beta_quint_sim","human_beta_quint_sim","gpt4_beta_admin","human_beta_admin","gpt4_beta_quint_admin","human_beta_quint_admin"
"1","0010",1.00716845878136,0.727598566308244,5,5,0.503584229390681,0.363799283154122,4,4
"2","0020",0.470588235294118,0.382352941176471,3,3,0.470588235294118,0.382352941176471,4,4
"3","0030",NA,NA,NA,NA,0.4,0.516666666666667,3,5
"4","0040",0.466666666666667,0.516666666666667,3,4,0.466666666666667,0.516666666666667,4,5
"5","0051",0.5,0.6,3,4,0.5,0.6,4,5
"6","0052",0.441176470588235,0.5,3,4,0.441176470588235,0.5,4,4
"7","0060",NA,NA,NA,NA,0.55625,0.5375,5,5
"8","0101",0.416666666666667,0.5,3,4,0.416666666666667,0.5,4,4
"9","0102",NA,NA,NA,NA,0.400162337662338,0.404220779220779,3,4
"10","0110",0.529411764705882,0.558823529411765,4,4,0.529411764705882,0.558823529411765,5,5
"11","0120",1.4534632034632,1.38647186147186,5,5,0.484487734487734,0.462157287157287,4,4
"12","0135",0.5,0.458333333333333,3,3,0.5,0.458333333333333,4,4
"13","0136",0.480769230769231,0.461538461538462,3,3,0.480769230769231,0.461538461538462,4,4
"14","0137",0.5,0.5,3,4,0.5,0.5,4,4
"15","0140",2.39038773404098,1.98938932298065,5,5,0.398397955673497,0.331564887163442,3,3
"16","0150",0.583333333333333,0.472222222222222,4,4,0.583333333333333,0.472222222222222,5,4
"17","0160",0.966666666666667,0.933333333333333,5,5,0.483333333333333,0.466666666666667,4,4
"18","0205",0.383333333333333,0.233333333333333,3,2,0.383333333333333,0.233333333333333,3,3
"19","0220",0.44,0.4,3,3,0.44,0.4,4,4
"20","0230",1.35798047667343,1.48253676470588,5,5,0.452660158891143,0.494178921568627,4,4
"21","0300",0.923558897243108,0.62280701754386,5,4,0.461779448621554,0.31140350877193,4,3
"22","0310",0.428571428571429,0.428571428571429,3,3,0.428571428571429,0.428571428571429,4,4
"23","0325",0.431818181818182,0.522727272727273,3,4,0.431818181818182,0.522727272727273,4,5
"24","0335",0.905572755417957,0.856037151702786,5,5,0.452786377708978,0.428018575851393,4,4
"25","0340",0.458333333333333,0.375,3,3,0.458333333333333,0.375,4,4
"26","0350",0.416666666666667,0.361111111111111,3,3,0.416666666666667,0.361111111111111,4,4
"27","0360",1.59280303030303,1.44561688311688,5,5,0.530934343434343,0.481872294372294,5,4
"28","0400",0.5,0.423076923076923,3,3,0.5,0.423076923076923,4,4
"29","0410",0.425925925925926,0.407407407407407,3,3,0.425925925925926,0.407407407407407,4,4
"30","0420",0.40625,0.4375,3,3,0.40625,0.4375,3,4
"31","0425",0.41304347826087,0.58695652173913,3,4,0.41304347826087,0.58695652173913,3,5
"32","0426",0.898809523809524,0.648809523809524,5,4,0.449404761904762,0.324404761904762,4,3
"33","0440",2.94402173913043,2.82670088566828,5,5,0.490670289855072,0.471116814278046,4,4
"34","0500",0.535714285714286,0.428571428571429,4,3,0.535714285714286,0.428571428571429,5,4
"35","0510",0.541666666666667,0.25,4,2,0.541666666666667,0.25,5,3
"36","0520",0.475,0.45,3,3,0.475,0.45,4,4
"37","0530",0.473684210526316,0.368421052631579,3,3,0.473684210526316,0.368421052631579,4,4
"38","0540",1.03448275862069,0.982758620689655,5,5,0.517241379310345,0.491379310344828,4,4
"39","0565",3.59634354489904,3.58206930369402,5,5,0.513763363557005,0.511724186242003,4,5
"40","0600",0.5,0.464285714285714,3,4,0.5,0.464285714285714,4,4
"41","0630",1.31318681318681,1.04120879120879,5,5,0.437728937728938,0.347069597069597,4,3
"42","0640",0.479166666666667,0.458333333333333,3,3,0.479166666666667,0.458333333333333,4,4
"43","0650",0.55,0.575,4,4,0.55,0.575,5,5
"44","0700",1.58118279569892,1.78304007820137,5,5,0.527060931899642,0.594346692733789,4,5
"45","0705",NA,NA,NA,NA,0.55,0.4,5,4
