"","occ1990dd","pct_ai","pct_ai_quint","occ1990"
"1",4,28,2,3
"2",4,28,2,4
"3",7,67,4,7
"4",8,75,4,8
"5",13,82,4,13
"6",13,82,4,197
"7",14,63,3,14
"8",15,84,4,15
"9",18,34,2,18
"10",19,1,1,19
"11",22,68,4,5
"12",22,68,4,16
"13",22,68,4,17
"14",22,68,4,21
"15",22,68,4,22
"16",23,48,3,23
"17",24,84,4,24
"18",25,81,4,25
"19",26,80,4,26
"20",27,44,3,27
"21",28,100,5,28
"22",29,85,4,29
"23",33,80,4,9
"24",33,80,4,33
"25",34,28,2,34
"26",35,100,5,35
"27",36,42,2,36
"28",37,54,3,37
"29",43,87,5,43
"30",44,80,4,44
"31",45,100,5,45
"32",47,85,4,46
"33",47,85,4,47
"34",48,100,5,48
"35",53,85,4,53
"36",55,87,5,55
"37",56,84,4,56
"38",57,75,4,57
"39",59,90,5,49
"40",59,90,5,54
"41",59,90,5,58
"42",59,90,5,59
"43",64,83,4,64
"44",65,83,4,65
"45",66,93,5,66
"46",68,89,5,67
"47",68,89,5,68
"48",69,100,5,69
"49",73,85,4,73
"50",74,100,5,74
"51",75,91,5,75
"52",76,89,5,76
"53",77,53,3,77
"54",78,82,4,78
"55",79,77,4,79
"56",83,93,5,83
"57",84,53,3,84
"58",85,54,3,85
"59",86,85,4,86
"60",87,100,5,87
"61",88,26,2,88
"62",89,28,2,89
"63",95,78,4,95
"64",96,17,1,96
"65",97,54,3,97
"66",98,59,3,98
"67",99,93,5,99
"68",103,93,5,103
"69",104,59,3,104
"70",105,54,3,105
"71",106,24,2,106
"72",154,1,1,113
"73",154,1,1,114
"74",154,1,1,115
"75",154,1,1,116
"76",154,1,1,117
"77",154,1,1,118
"78",154,1,1,119
"79",154,1,1,123
"80",154,1,1,124
"81",154,1,1,125
"82",154,1,1,126
"83",154,1,1,127
"84",154,1,1,128
"85",154,1,1,129
"86",154,1,1,133
"87",154,1,1,134
"88",154,1,1,135
"89",154,1,1,136
"90",154,1,1,137
"91",154,1,1,138
"92",154,1,1,139
"93",154,1,1,143
"94",154,1,1,144
"95",154,1,1,145
"96",154,1,1,146
"97",154,1,1,147
"98",154,1,1,148
"99",154,1,1,149
"100",154,1,1,153
"101",154,1,1,154
"102",155,44,3,155
"103",156,40,2,156
"104",157,43,2,157
"105",158,54,3,158
"106",159,55,3,159
"107",163,40,2,163
"108",164,26,2,164
"109",165,28,2,165
"110",166,87,5,166
"111",167,85,4,167
"112",169,87,5,168
"113",169,87,5,169
"114",173,84,4,173
"115",174,60,3,174
"116",176,2,1,176
"117",176,2,1,177
"118",177,21,1,465
"119",178,79,4,178
"120",178,79,4,179
"121",183,23,2,183
"122",184,80,4,184
"123",185,77,4,185
"124",186,28,2,186
"125",187,43,2,187
"126",188,52,3,188
"127",189,80,4,189
"128",193,14,1,193
"129",194,1,1,194
"130",195,14,1,195
"131",198,9,1,198
"132",199,52,3,199
"133",203,100,5,203
"134",204,76,4,204
"135",205,34,2,205
"136",206,58,3,206
"137",207,23,2,207
"138",208,42,2,208
"139",214,91,5,213
"140",214,91,5,214
"141",214,91,5,215
"142",214,91,5,216
"143",217,81,4,217
"144",218,84,4,63
"145",218,84,4,218
"146",218,84,4,867
"147",223,84,4,223
"148",224,23,2,224
"149",226,80,4,226
"150",227,29,2,227
"151",228,82,4,228
"152",229,94,5,229
"153",233,85,5,233
"154",234,25,2,234
"155",235,82,4,235
"156",243,61,3,243
"157",253,33,2,253
"158",254,88,5,254
"159",255,64,3,255
"160",256,16,1,256
"161",258,47,3,258
"162",274,18,1,257
"163",274,18,1,259
"164",274,18,1,284
"165",274,18,1,285
"166",275,2,1,263
"167",275,2,1,264
"168",275,2,1,265
"169",275,2,1,266
"170",275,2,1,267
"171",275,2,1,268
"172",275,2,1,269
"173",275,2,1,274
"174",275,2,1,275
"175",276,38,2,276
"176",277,13,1,277
"177",277,13,1,278
"178",283,2,1,283
"179",303,29,2,303
"180",303,29,2,305
"181",308,68,4,304
"182",308,68,4,308
"183",308,68,4,309
"184",313,9,1,313
"185",313,9,1,314
"186",315,9,1,315
"187",316,14,1,316
