ym,year,month,emprate_1518_ma12,emprate_1922_ma12,emprate_1518_idx2020,emprate_1922_idx2020
2015m1,2015,january,.18485983,.55295086,86.02243,93.224709
2015m2,2015,february,.18560725,.55474228,86.370239,93.526733
2015m3,2015,march,.18616465,.55459136,86.629616,93.501289
2015m4,2015,april,.18761083,.55468589,87.302582,93.517227
2015m5,2015,may,.1891797,.55555826,88.032639,93.664299
2015m6,2015,june,.19064216,.55658036,88.713181,93.836624
2015m7,2015,july,.19206256,.55681229,89.374146,93.875725
2015m8,2015,august,.19322756,.5583306,89.91626,94.131699
2015m9,2015,september,.19441774,.55878419,90.4701,94.208176
2015m10,2015,october,.19454277,.55891848,90.528282,94.230812
2015m11,2015,november,.1944491,.56004822,90.484695,94.421288
2015m12,2015,december,.19539788,.56156051,90.926201,94.676247
2016m1,2016,january,.19567503,.56289321,91.055168,94.900932
2016m2,2016,february,.19665565,.56372398,91.511482,95.041
2016m3,2016,march,.19715816,.56567305,91.745323,95.369606
2016m4,2016,april,.19720668,.56744188,91.767899,95.667816
2016m5,2016,may,.19709523,.56893176,91.716042,95.919006
2016m6,2016,june,.19746506,.56995994,91.888138,96.092354
2016m7,2016,july,.19765066,.57097346,91.974503,96.263222
2016m8,2016,august,.19890393,.57178664,92.557701,96.400322
2016m9,2016,september,.19955516,.57204413,92.860741,96.443733
2016m10,2016,october,.1996775,.57190073,92.917671,96.419556
2016m11,2016,november,.20030756,.57272947,93.210861,96.55928
2016m12,2016,december,.2001918,.57402909,93.15699,96.778389
2017m1,2017,january,.20125373,.57525808,93.651154,96.985588
2017m2,2017,february,.20168994,.57670528,93.854141,97.229584
2017m3,2017,march,.20264682,.57757258,94.299408,97.375801
2017m4,2017,april,.20357569,.57812923,94.731644,97.46965
2017m5,2017,may,.20422448,.57720214,95.033554,97.313347
2017m6,2017,june,.20541209,.57696444,95.586197,97.27327
2017m7,2017,july,.20569098,.57773495,95.715973,97.403175
2017m8,2017,august,.20600335,.57804424,95.861336,97.455322
2017m9,2017,september,.20706394,.57971817,96.354866,97.737541
2017m10,2017,october,.20716152,.58122879,96.400276,97.992226
2017m11,2017,november,.20731369,.58065099,96.471085,97.894806
2017m12,2017,december,.20776713,.57975066,96.682091,97.743019
2018m1,2018,january,.20790544,.57998973,96.746452,97.783325
2018m2,2018,february,.20856798,.57971627,97.054756,97.737221
2018m3,2018,march,.20873772,.58017963,97.133743,97.815338
2018m4,2018,april,.2083334,.58010805,96.945595,97.803268
