MajorSector,weighted_n,unweighted_n,share
Accommodation and Food Services,59873581,17586,39.895901
Retail Trade,32425063,9702,21.605976
"Arts, Entertainment, and Recreation",11239201,3224,7.4890804
Health Care and Social Assistance,8568308,2632,5.7093692
Other Services (Except Public Administration),6075099,1752,4.0480552
Educational Services,5936787,1702,3.955893
Construction,5013755,1555,3.3408437
Manufacturing,4831245,1403,3.2192309
Administrative and Support and Waste Management Services,3383515,1080,2.2545567
"Agriculture, Forestry, Fishing and Hunting",3264529,1101,2.1752722
Transportation and Warehousing,2597039,709,1.7304997
"Professional, Scientific, and Technical Services",1635272,457,1.08964
Information,1479435,419,.98580033
Public Administration,1117342,339,.74452484
Wholesale Trade,784941,246,.52303416
Real Estate and Rental and Leasing,782372,232,.52132237
Finance and Insurance,749771,211,.49959916
"Mining, Quarrying, and Oil and Gas Extraction",207584,77,.13832062
Utilities,109668,42,.073075697
