ym,year,month,unemployed1518_ma12,unemployed2225_ma12
2015m1,2015,january,.20308562,.062262736
2015m2,2015,february,.2008587,.061599631
2015m3,2015,march,.19932869,.060499709
2015m4,2015,april,.19667161,.060761925
2015m5,2015,may,.19484691,.060885631
2015m6,2015,june,.19060487,.058956318
2015m7,2015,july,.185376,.057508979
2015m8,2015,august,.18221666,.056765303
2015m9,2015,september,.17816332,.05666402
2015m10,2015,october,.17534845,.055388607
2015m11,2015,november,.17445859,.054399472
2015m12,2015,december,.17241287,.052659489
2016m1,2016,january,.1713952,.051545519
2016m2,2016,february,.17105082,.050902683
2016m3,2016,march,.17062679,.051283091
2016m4,2016,april,.17077097,.051152561
2016m5,2016,may,.17064971,.050094485
2016m6,2016,june,.17055869,.051576767
2016m7,2016,july,.17091924,.051170234
2016m8,2016,august,.17010102,.051759571
2016m9,2016,september,.17099565,.050529942
2016m10,2016,october,.17196821,.050409388
2016m11,2016,november,.17149857,.049475022
2016m12,2016,december,.17094412,.048945896
2017m1,2017,january,.16873018,.049240381
2017m2,2017,february,.16709915,.049312256
2017m3,2017,march,.16529414,.049139202
2017m4,2017,april,.1654093,.048689067
2017m5,2017,may,.16349696,.048786495
2017m6,2017,june,.16150816,.047940422
2017m7,2017,july,.16006437,.04716656
2017m8,2017,august,.1582972,.046306781
2017m9,2017,september,.15567903,.046723969
2017m10,2017,october,.15372151,.047061831
2017m11,2017,november,.15462789,.047216821
2017m12,2017,december,.15386927,.046929751
2018m1,2018,january,.15439491,.046632353
2018m2,2018,february,.15496524,.045555666
2018m3,2018,march,.15375492,.045481734
2018m4,2018,april,.1504977,.045452576
2018m5,2018,may,.14992502,.045654815
2018m6,2018,june,.1491483,.045086343
2018m7,2018,july,.14705406,.044580519
2018m8,2018,august,.14562894,.044126481
2018m9,2018,september,.1449412,.044075444
2018m10,2018,october,.14282246,.043929577
2018m11,2018,november,.13955759,.04507738
2018m12,2018,december,.13875903,.046208121
2019m1,2019,january,.13776058,.046372317
2019m2,2019,february,.13621725,.045898616
2019m3,2019,march,.13627316,.045720082
2019m4,2019,april,.13642287,.044925675
2019m5,2019,may,.13508989,.045764685
2019m6,2019,june,.13406892,.045344777
2019m7,2019,july,.13556395,.046698336
2019m8,2019,august,.13490508,.04751721
2019m9,2019,september,.13487208,.047371868
2019m10,2019,october,.13427949,.046194334
2019m11,2019,november,.13403979,.044783235
2019m12,2019,december,.13487488,.044243079
2020m1,2020,january,.13381468,.043698296
2020m2,2020,february,.13147691,.044176091
2020m3,2020,march,.13230476,.044255808
2020m4,2020,april,.14950639,.054196671
2020m5,2020,may,.16470858,.061573368
2020m6,2020,june,.17198041,.072705664
2020m7,2020,july,.17580336,.081155002
2020m8,2020,august,.18006262,.085965887
2020m9,2020,september,.18300879,.088352345
2020m10,2020,october,.185513,.091303803
2020m11,2020,november,.18599159,.093595065
2020m12,2020,december,.18764101,.096628919
2021m1,2021,january,.18981263,.10008785
2021m2,2021,february,.19190016,.10285947
2021m3,2021,march,.18903698,.10444243
2021m4,2021,april,.16966209,.097213268
2021m5,2021,may,.15191452,.091748454
2021m6,2021,june,.14277151,.084789664
2021m7,2021,july,.13615654,.078115046
2021m8,2021,august,.13134158,.073992364
2021m9,2021,september,.12701477,.073425196
2021m10,2021,october,.12449955,.071734793
2021m11,2021,november,.12247144,.07095848
2021m12,2021,december,.11815576,.068303034
2022m1,2022,january,.11453675,.065098785
2022m2,2022,february,.11099697,.062498555
2022m3,2022,march,.1095485,.060717363
2022m4,2022,april,.10907435,.059572712
2022m5,2022,may,.10989076,.057162859
2022m6,2022,june,.11000147,.055237465
2022m7,2022,july,.10971204,.054377135
2022m8,2022,august,.10915421,.052690245
2022m9,2022,september,.10990114,.051416542
2022m10,2022,october,.10883867,.050578155
2022m11,2022,november,.10896492,.050221153
2022m12,2022,december,.10870128,.050211255
2023m1,2023,january,.108134,.050120078
2023m2,2023,february,.10900081,.049825892
2023m3,2023,march,.10885137,.050415464
2023m4,2023,april,.10727841,.050250761
2023m5,2023,may,.1065359,.050095119
2023m6,2023,june,.10711638,.049174212
2023m7,2023,july,.10760059,.048229955
2023m8,2023,august,.10923588,.049132064
2023m9,2023,september,.10984726,.049583964
2023m10,2023,october,.11262801,.050687853
2023m11,2023,november,.11277414,.051505923
2023m12,2023,december,.11432317,.050941218
2024m1,2024,january,.1140947,.050588634
2024m2,2024,february,.11514595,.051169414
2024m3,2024,march,.11787199,.051560502
2024m4,2024,april,.12051628,.051372174
2024m5,2024,may,.1231294,.051816225
2024m6,2024,june,.12374621,.052083954
2024m7,2024,july,.12540706,.053340226
2024m8,2024,august,.12846428,.055017404
2024m9,2024,september,.13000841,.054444
2024m10,2024,october,.12948512,.05413042
2024m11,2024,november,.13189565,.053553496
2024m12,2024,december,.13290997,.054024071
2025m1,2025,january,.13491939,.054945175
2025m2,2025,february,.13619922,.056768984
2025m3,2025,march,.13694325,.057791036
2025m4,2025,april,.13807003,.058288407
2025m5,2025,may,.13876829,.058797929
2025m6,2025,june,.14029118,.058611576
2025m7,2025,july,.14335717,.058680531
2025m8,2025,august,.1419856,.058174182
2025m9,2025,september,.14184824,.060504004
2025m11,2025,november,.1458616,.063086174
2025m12,2025,december,.14783695,.064220332
2026m1,2026,january,.1486233,.064823113
2026m2,2026,february,.14871934,.064252339
2026m3,2026,march,.14744094,.062795855
